"group" "id" "x" "y" "phenotype1" "envi" "group_env" "new_group"
"683" 25 144 0.0113136 0.969254 0.304805 -0.244449 -0.2 18
"375" 12 145 0.759455 0.0406343 -0.622924 0.286497 0.3 25
"714" 26 146 0.752417 0.98741 -0.306937 -0.492904 -0.5 9
"903" 33 147 0.149145 0.63592 0.250264 -0.303848 -0.4 14
"835" 31 148 0.626349 0.477049 0.402818 0.805534 0.8 35
"719" 27 149 0.92582 0.782039 -0.186177 -0.689849 -0.7 4
"137" 4 150 0.810108 0.224275 0.046611 0.330196 0.3 23
"811" 31 151 0.635746 0.468076 0.871592 0.783762 0.8 35
"756" 28 152 0.45273 0.803203 0.627006 0.648417 0.7 33
"750" 28 153 0.476106 0.808438 1.29788 0.7097 0.7 33
"235" 7 154 0.270581 0.0345623 0.485284 0.137862 0.2 21
"139" 4 155 0.841211 0.239618 -0.418149 0.241667 0.3 23
"231" 7 156 0.260601 0.0115603 0.774944 0.167588 0.2 21
"314" 9 157 0.380612 0.461687 0.616947 0.654415 0.7 32
"404" 13 158 0.850754 0.415621 -0.255981 0.0913443 0.1 20
"532" 19 159 0.0043015 0.129966 1.30964 -0.518976 -0.5 8
"481" 16 160 0.310929 0.506705 1.5219 0.545885 0.4 30
"96" 3 161 0.467409 0.0244319 1.20501 1.58376 1.6 39
"175" 5 162 0.0190811 0.317034 -0.835097 -0.423248 -0.4 12
"839" 31 163 0.632838 0.469218 0.838395 0.790471 0.8 35
"280" 8 164 0.58215 0.893833 -0.700003 0.319659 0.3 24
"817" 31 165 0.6278 0.471822 1.26397 0.80214 0.8 35
"55" 3 166 0.462213 0.00936976 1.02528 1.60222 1.6 39
"601" 22 167 0.981018 0.143966 -0.487424 -0.643939 -0.7 3
"526" 19 168 0.0172934 0.139168 1.35779 -0.508656 -0.5 8
"591" 22 169 0.978623 0.140812 -0.677272 -0.644126 -0.7 3
"827" 31 170 0.637982 0.5188 0.332055 0.771654 0.8 35
"296" 9 171 0.417011 0.415239 5.64825 0.694318 0.7 32
"786" 29 172 0.903208 0.487013 -0.68085 -0.218704 -0.2 19
"281" 9 173 0.425689 0.416633 1.81329 0.737013 0.7 32
"873" 32 174 0.420414 0.972168 0.10863 0.285517 0.3 28
"647" 24 175 0.192835 0.219018 -0.859425 -0.736954 -0.8 2
"661" 25 176 0.0268975 0.965549 0.671817 -0.228718 -0.2 18
"326" 10 177 0.224171 0.962607 -0.0657232 0.193475 0.2 22
"289" 9 178 0.421068 0.409816 2.27078 0.702467 0.7 32
"555" 21 179 0.636446 0.123991 -0.0845542 0.906938 0.9 36
"269" 8 180 0.565099 0.90429 -0.417917 0.328701 0.3 24
"236" 7 181 0.267809 0.00355061 0.248165 0.253607 0.2 21
"89" 3 182 0.471547 0.0184435 0.53373 1.63508 1.6 39
"855" 31 183 0.621604 0.488409 0.975527 0.816837 0.8 35
"337" 10 184 0.20249 0.989426 1.09044 0.20521 0.2 22
"558" 21 185 0.621771 0.131895 0.718806 0.957013 0.9 36
"904" 33 186 0.129262 0.645129 0.204862 -0.414453 -0.4 14
"103" 4 187 0.816901 0.22529 0.862102 0.30541 0.3 23
"577" 21 188 0.638699 0.135281 0.644889 0.88758 0.9 36
"662" 25 189 0.0143758 0.961353 -0.589022 -0.276161 -0.2 18
"413" 13 190 0.810884 0.449038 -0.129842 0.246611 0.1 20
"675" 25 191 0.0162769 0.96495 -0.379915 -0.254634 -0.2 18
"823" 31 192 0.644646 0.50911 0.848861 0.758805 0.8 35
"621" 24 193 0.208557 0.216485 -0.273034 -0.75292 -0.8 2
"426" 14 194 0.358628 0.254829 0.0609452 -0.089008 -0.2 17
"852" 31 195 0.629883 0.514464 0.678791 0.792281 0.8 35
"674" 25 196 0.020433 0.971916 -0.068259 -0.212495 -0.2 18
"193" 6 197 0.925221 0.964797 1.08589 -0.400067 -0.4 13
"300" 9 198 0.426479 0.418373 0.158133 0.743857 0.7 32
"528" 19 199 0.0266295 0.160453 -0.796156 -0.498259 -0.5 8
"226" 7 200 0.271295 0.0448351 -0.463115 0.0981854 0.2 21
"335" 10 201 0.217225 0.991596 1.26144 0.236668 0.2 22
"113" 4 202 0.806604 0.224487 0.231111 0.344392 0.3 23
"758" 28 203 0.4603 0.800819 0.409545 0.677984 0.7 33
"478" 16 204 0.314581 0.504823 1.33693 0.55956 0.4 30
"163" 5 205 0.00542445 0.322038 -0.417084 -0.412498 -0.4 12
"88" 3 206 0.465943 0.0224658 1.05141 1.58053 1.6 39
"310" 9 207 0.41419 0.412114 5.9801 0.674746 0.7 32
"188" 6 208 0.941567 0.978531 0.752708 -0.371149 -0.4 13
"620" 24 209 0.201837 0.208024 -0.325078 -0.713973 -0.8 2
"972" 36 210 0.545461 0.2659 0.0617962 0.943455 1 38
"940" 35 211 0.153624 0.82744 -0.323275 -0.354663 -0.5 10
"587" 21 212 0.63027 0.124291 0.757659 0.931772 0.9 36
"571" 21 213 0.665147 0.117643 0.495665 0.79259 0.9 36
"385" 12 214 0.750939 0.00389903 0.518314 0.291883 0.3 25
"918" 34 215 0.968956 0.563781 -0.194834 -0.675967 -0.7 5
"498" 18 216 0.0555599 0.736332 -0.579135 -1.03971 -1.1 1
"256" 8 217 0.613549 0.884907 0.782701 0.271059 0.3 24
"5" 1 218 0.606702 0.740421 -0.398764 0.760964 0.8 34
"652" 24 219 0.205132 0.223016 -0.812773 -0.770273 -0.8 2
"56" 3 220 0.467431 0.0222161 0.949049 1.59203 1.6 39
"497" 18 221 0.043609 0.760122 -1.55953 -1.1022 -1.1 1
"989" 37 222 0.0391052 0.00339252 0.626801 -0.525818 -0.5 11
"346" 10 223 0.193389 0.996201 0.656999 0.204411 0.2 22
"921" 34 224 0.975763 0.575008 1.16448 -0.735335 -0.7 5
"706" 26 225 0.749041 0.994641 -0.973445 -0.521727 -0.5 9
"544" 20 226 0.849814 0.801324 -0.300743 -0.255318 -0.3 16
"433" 14 227 0.355367 0.251217 0.662174 -0.126324 -0.2 17
"884" 32 228 0.406603 0.999072 -0.364862 0.249303 0.3 28
"802" 30 229 0.891628 0.00992543 -0.285994 -0.584366 -0.6 7
"74" 3 230 0.467882 0.00983983 1.18252 1.64057 1.6 39
"893" 33 231 0.136235 0.648487 0.315764 -0.393247 -0.4 14
"505" 18 232 0.0428235 0.757279 -0.285793 -1.11876 -1.1 1
"910" 34 233 0.972146 0.559865 -0.228925 -0.685335 -0.7 5
"275" 8 234 0.575266 0.897018 -0.159326 0.326565 0.3 24
"39" 2 235 0.513706 0.607837 1.12594 1.01453 1 37
"134" 4 236 0.819686 0.229797 0.139543 0.303402 0.3 23
"435" 14 237 0.342359 0.257212 -0.967819 -0.207914 -0.2 17
"737" 27 238 0.934709 0.789935 -0.0898269 -0.727866 -0.7 4
"985" 37 239 0.0517442 0.0194575 0.659638 -0.48858 -0.5 11
"984" 37 240 0.0491362 0.000336919 -0.0152081 -0.494476 -0.5 11
"645" 24 241 0.208078 0.211501 -0.440153 -0.734623 -0.8 2
"849" 31 242 0.637714 0.488302 0.384063 0.778603 0.8 35
"666" 25 243 0.00690896 0.97053 0.345518 -0.247476 -0.2 18
"876" 32 244 0.409567 0.977832 0.882456 0.276654 0.3 28
"639" 24 245 0.20696 0.226458 -1.06056 -0.785374 -0.8 2
"680" 25 246 0.0185691 0.978105 -2.52266 -0.186818 -0.2 18
"250" 8 247 0.61325 0.877996 0.92474 0.296048 0.3 24
"405" 13 248 0.847078 0.423201 0.392612 0.101452 0.1 20
"255" 8 249 0.608691 0.898849 0.0248115 0.234615 0.3 24
"116" 4 250 0.81345 0.230852 0.51368 0.329618 0.3 23
"589" 22 251 0.957229 0.149146 -0.165215 -0.511286 -0.7 3
"653" 24 252 0.19878 0.218874 -0.343176 -0.745897 -0.8 2
"953" 35 253 0.119053 0.838285 0.265014 -0.459216 -0.5 10
"885" 32 254 0.41368 0.984126 0.0272263 0.26781 0.3 28
"160" 5 255 0.0110802 0.319571 -0.658142 -0.416636 -0.4 12
"489" 17 256 0.0261967 0.0412689 -1.2152 -0.549545 -0.6 6
"202" 6 257 0.941572 0.964092 -0.446266 -0.401446 -0.4 13
"285" 9 258 0.458904 0.433682 -0.435202 0.910012 0.7 32
"567" 21 259 0.624744 0.0934387 0.101666 0.990288 0.9 36
"23" 2 260 0.477156 0.634328 -0.180798 0.946331 1 37
"107" 4 261 0.822008 0.217327 1.13574 0.269356 0.3 23
"315" 9 262 0.462208 0.427601 -0.384015 0.917178 0.7 32
"363" 11 263 0.0272042 0.488927 0.518981 -0.347258 -0.3 15
"305" 9 264 0.444503 0.436585 1.49491 0.853083 0.7 32
"742" 27 265 0.926695 0.783792 -0.566292 -0.692221 -0.7 4
"327" 10 266 0.223566 0.969337 0.264782 0.205136 0.2 22
"707" 26 267 0.753203 0.990288 -0.419619 -0.503929 -0.5 9
"546" 20 268 0.877962 0.806189 0.37942 -0.404783 -0.3 16
"895" 33 269 0.139824 0.639615 1.10679 -0.353674 -0.4 14
"442" 15 270 0.316594 0.770329 -0.235479 0.202156 0.3 26
"51" 2 271 0.48394 0.61635 0.631752 0.983017 1 37
"987" 37 272 0.0617463 0.00689588 0.41399 -0.456736 -0.5 11
"954" 35 273 0.113253 0.813584 0.90043 -0.567554 -0.5 10
"748" 28 274 0.454659 0.799108 1.1234 0.663424 0.7 33
"611" 23 275 0.774908 0.734387 -0.0542618 0.318135 0.3 27
"842" 31 276 0.644144 0.490277 0.382188 0.76325 0.8 35
"223" 7 277 0.265133 0.012734 -0.824042 0.194513 0.2 21
"844" 31 278 0.636333 0.469437 0.733555 0.782368 0.8 35
