id x y phenotype1 envi 
321 0.239009 0.77788 0.389602 -0.275112 
322 0.498822 0.164259 -0.0911548 0.76226 
323 0.0127656 0.204669 -1.11956 -0.517715 
324 0.942061 0.874661 -0.222931 -1.01958 
325 0.79595 0.232607 0.790444 -0.264504 
326 0.993103 0.546062 0.447112 -0.813884 
327 0.936196 0.168535 -0.95506 -1.01209 
328 0.993138 0.0243247 0.432467 -0.682842 
329 0.998581 0.516343 0.248743 -0.695375 
330 0.841507 0.278925 -0.124886 -0.501249 
331 0.656678 0.00234756 -0.672141 -0.20091 
332 0.0849222 0.195856 -0.656486 -0.518798 
333 0.37259 0.278892 0.101501 0.327473 
334 0.971789 0.0118311 -0.794929 -0.626971 
335 0.379118 0.368206 -0.663153 0.511901 
336 0.41042 0.987016 -0.401889 0.406052 
337 0.310174 0.104175 -1.29158 -0.419998 
338 0.252344 0.904381 -0.251108 0.127861 
339 0.0800462 0.191223 0.493347 -0.5275 
340 0.168666 0.424378 0.0223559 -0.211089 
341 0.00650131 0.765391 0.00689057 -0.888911 
342 0.83932 0.556368 -0.77473 -0.136512 
343 0.658407 0.00651604 0.558689 -0.198396 
344 0.625288 0.760887 -0.341175 0.540828 
345 0.726743 0.671966 -0.0776228 0.439867 
346 0.233796 0.0116612 -0.95506 -1.01431 
347 0.000820402 0.77528 -0.892974 -0.899107 
348 0.263942 0.905959 -0.403498 0.14957 
349 0.670283 0.878747 0.266782 0.393794 
350 0.309695 0.106543 -1.14892 -0.416476 
351 0.212703 0.958596 -0.515911 0.117182 
352 0.237819 0.766366 0.164003 -0.310543 
353 0.545517 0.864541 0.22318 0.500592 
354 0.488492 0.0541981 0.828719 0.505747 
355 0.59098 0.751563 0.328868 0.572412 
356 0.93604 0.878835 -1.7287 -0.968077 
357 0.841351 0.561437 0.418935 -0.152016 
358 0.00157283 0.771041 -0.663153 -0.89888 
359 0.304778 0.607075 0.447112 0.130294 
360 0.368135 0.274037 0.149909 0.296653 
361 0.0586978 0.791357 -0.00664134 -0.733401 
362 0.0830156 0.192449 -0.319531 -0.525034 
363 0.502911 0.165809 -0.0911548 0.76063 
364 0.172658 0.429688 -0.738771 -0.200259 
365 0.95643 0.663651 -0.8682 -1.10066 
366 0.641118 0.394815 -0.222931 0.620948 
